name,yearPublished,minAge,minPlayers,maxPlayers,rating,weight
Catan,1995,10,3,4,7.27654,2.3623
10 Tage durch Deutschland,2012,8,2,4,6.102,1.5
6 nimmt!,1994,8,2,10,6.89137,1.2272
7 Steps,2014,10,2,4,6.27977,1.8182
Linko!,2014,10,2,5,7.10266,1.4011
The Abyss,2005,10,2,10,0,0
Acquire,1964,12,3,6,7.3591,2.5109
20 Jahre Activity,2009,12,4,16,5,1
Activity kompakt,1992,12,3,16,6.27632,1.3333
Double Agent,2005,9,2,2,5.84778,1.75
Alchemist,2007,10,2,5,6.2685,2.2348
Alhambra,2003,8,2,6,7.04332,2.1185
Anno Domini: Erfindungen,1999,10,2,8,6.87733,1.5135
Anno Domini: Flopps,2001,10,2,8,6.96726,1.4231
Anti-Monopoly,1973,8,2,6,3.65285,1.64
Arcana,2009,13,2,4,6.18615,2.0571
Arche Noah,2013,8,2,5,5.78148,1
Arkham Horror,1987,12,1,8,6.56966,2.3111
Arkwright,2014,12,2,4,7.90567,4.4914
Age of Steam Expansion: Atlantis & Trisland,2010,10,3,6,7.1939,4
Auf Achse,1987,8,2,6,6.2695,1.9528
Sail to India,2013,14,3,4,6.82778,2.2016
Ausgerechnet Buxtehude,2005,10,2,6,6.50726,1.4211
Bam!: Das unanständig gute Wortspiel,2013,16,4,10,5.42941,1
Bam!: Extrahart,2015,18,3,6,6.895,1
Bang Box,1969,6,2,4,5.175,0
Bauer sucht Frau: Das Brettspiel,2008,12,2,6,3.5,0
Bezzerwizzer,2007,14,2,4,6.40622,1.6628
The Big Bang Theory: Das geniale Spiel,2014,10,2,4,6.5,0
Black Stories 1+2,2010,12,2,15,4,0
Black Stories: Shit Happens Edition,2013,12,2,15,6.575,1
Blizz Quizz,2014,10,2,4,6,0
Blöder Sack,2014,8,2,4,6.07368,1
Blokus,2000,5,2,4,6.94787,1.7964
Blood Bound,2013,14,6,12,6.74142,1.7
Arkansas Bluff,1975,12,3,6,5.74,1
Bohnanza,1997,13,2,7,7.07054,1.6778
Bora Bora,2013,12,2,4,7.61263,3.7443
Bremen Eins Das Bremerhaven Spiel,0,9,2,6,0,0
Broom Service,2015,10,2,5,7.29922,2.4027
Bruges,2013,10,2,4,7.50027,2.75
Bushido,2011,0,2,2,8.33077,3
Café International,1989,10,2,4,6.27631,1.6596
Camel Up,2014,8,2,8,7.11596,1.4991
Canopy Walk,2014,14,2,2,5.68769,1.6667
PitchCar,1995,6,2,8,7.2488,1.1289
Carcassonne,2000,8,2,5,7.43561,1.9411
Carcassonne: Over Hill and Dale,2015,7,2,5,7.4015,2.1667
Carnac,2011,8,2,2,7.12031,2.3333
1960: The Making of the President,2007,12,2,2,7.56485,3.1977
Cartagena,2000,8,2,5,6.7075,1.6162
Cut and Run,1988,12,3,6,5.30909,1.5556
Charioteer: Racing at the Famous Circus Maximus,2011,0,1,4,6.25,2
City of Horror,2012,13,3,6,6.77111,2.4048
Ciúb,2014,10,2,4,6.19125,1.9355
Clue,1949,8,3,6,5.63117,1.678
Colt Express,2014,10,2,6,7.25315,1.8048
Concept,2013,10,4,12,6.99455,1.4729
Concordia,2013,13,2,5,7.96099,3.1546
The Best of Cranium For Outrageous Fun,2013,16,4,8,5.1,0
Crowns,2010,8,2,2,6.8,3
Das magische Labyrinth,1990,7,2,2,6,0
Nero,2002,12,3,4,3.66641,2.3462
Das Weinspiel,2011,14,2,6,0,0
Deal or No Deal,2006,8,2,6,3.77835,1.8333
The Enchanted Tower,2012,5,2,4,6.8846,1.1875
Ramses II,1997,7,2,5,5.80467,1.3704
Deukalion,2008,10,2,4,6.00543,2.1818
The Castle of the Devil,2010,10,4,8,6.50107,1.969
Desperados of Dice Town,2014,8,2,4,6.19518,1.3667
Die Brücke am Rio D'Oro,2011,8,2,4,5.63769,1.4286
Die drei !!!: Geheimnis der alten Villa,2016,8,2,4,7,0
The Werewolves of Miller's Hollow: The Village,2009,8,8,18,6.99997,1.7419
Dungeoneer: Tomb of the Lich Lord,2003,12,2,4,6.11193,2.181
Die Kette von Saba,1984,8,3,7,5.38194,1.5
Legends of Andor,2012,14,2,4,7.33354,2.7489
Legends of Andor: Journey to the North,2014,10,2,4,8.2109,2.9
The Palaces of Carrara,2012,10,2,4,7.26158,2.6075
Catan Geographies: Settlers of Hesse,2007,0,2,4,6.92758,2.2857
Catan Geographies: Germany,2008,10,3,4,6.91867,2.3774
The 7 Dwarfs,1996,3,2,4,0,0
3 Dimensional Chess,1979,8,2,2,5,0
Dino Detektive,2008,0,2,4,6.24,1.75
Discoveries,2015,14,2,4,7.23943,2.3723
Divinare,2012,13,2,4,6.75943,1.7677
Dixit,2008,6,3,6,7.36871,1.2668
Spot it!,2009,7,2,8,6.7533,1.0376
Dominion: Guilds,2013,13,2,4,7.97841,2.5408
Dominion: Die Intrige – Erweiterung,2014,0,0,0,7.6369,2.5
Dominion: Adventures,2015,14,2,4,8.26895,2.8431
Drachenhort,2015,8,2,7,6.78193,1.5714
Drecksau,2012,7,2,4,5.97658,1.0652
Dungeon Twister,2004,11,2,2,6.85717,2.8795
El Grande Big Box,2015,12,2,5,8.38572,2.7917
Elfenland,1998,10,2,6,6.7534,2.1649
Eye Know,2007,14,2,8,6.02295,2
Five Crowns,1996,8,2,7,5.84528,1.2784
Five Tribes,2014,13,2,4,7.83836,2.8935
Flash 10,2013,8,2,5,6.3,1
Focus,1963,10,2,4,6.46091,2.4265
21 Freeze Out,1986,8,2,6,6.2,2
Fightin' Fungi,2015,12,2,8,7.75,0
A Game of Thrones (first edition),2003,12,3,5,7.30069,3.4457
Gänsemarsch,1991,6,2,4,0,0
Gehirn-Jogging,2009,50,1,6,0,0
Coal Baron,2013,10,2,4,7.33017,2.5654
Graffiti,2007,12,3,8,6.44401,1.1538
Grill Party,2012,10,2,5,5.60333,1.5
Grog Island,2014,10,2,4,6.61494,2.2093
Guildhall,2012,10,2,4,7.03937,2.0588
Guinness Book of World Records Game,1980,8,2,4,4.51,1
Chinese Checkers,1893,7,2,6,5.09821,1.6214
Hanabi,2010,8,2,5,7.23019,1.6941
Hands Up,2002,6,2,8,5.97682,1.0909
Aloha: The Spirit of Hawaii,2012,10,2,4,6.35,2.75
Heads of State,2008,12,2,5,6.152,2.9398
Pickomino,2005,8,2,7,6.53485,1.1531
Heimlich & Co.,1984,8,2,7,6.44079,1.5018
Helios,1938,10,2,2,8,0
Hensslers Küchenrallye,2014,14,2,8,5,0
Lord of the Rings: The Duel,2002,10,2,2,5.9258,1.7059
Filly Witchy: Hexentanz in Zimsala,2013,4,2,4,0,0
Der Hobbit: Eine unerwartete Reise – Das Spiel zum Film,2012,10,2,4,5.70737,1.8
Hochstapler,2009,8,3,7,5.47576,1.3077
57th PANZER KORPS: The Strong Right Hook,0,0,1,2,6.1,2
Dyrenes hotel,0,5,0,0,5.5,0
Hugo,1993,5,2,4,3.375,1
Dominion: Intrigue,2009,13,2,4,7.80212,2.4457
Istanbul,2014,10,2,5,7.63032,2.6191
Angry Birds: Star Wars – Jenga Bespin Battle Game,2013,8,1,2,1,0
Jenseits von Theben,2004,10,2,4,7.18462,2.4375
Danger 13,2007,8,2,5,6.07032,1.2308
Junta,1978,16,2,7,6.76757,2.8468
Cuckoo Zoo,2002,8,2,10,5.61446,1
Crootle: A Card Game of Kaleidoscopic Proportions,2013,7,2,4,6.03333,0
Kamisado,2008,0,2,2,7.00785,2.5204
Kashgar: Händler der Seidenstraße,2013,12,2,4,7.02868,2.3333
Keltis,2008,10,2,4,6.46525,1.6454
GAMBONI,2016,14,3,5,7.72222,3
King of Tokyo,2011,8,2,6,7.31572,1.514
Kingdom Builder,2011,8,2,4,7.03607,2.0769
Kingsport Festival,2014,12,2,5,6.85768,2.6761
Kleine Helden,2007,0,2,5,6.18013,1.8571
König der Maulwürfel,2002,5,2,4,5.35652,1.0833
Kopf an Kopf,1998,4,2,4,0,0
Merchants & Marauders,2010,13,2,4,7.45467,3.2061
Krosmaster: Arena,2012,14,2,4,7.01092,2.6604
You're Bluffing!,1985,10,3,5,6.63897,1.6115
La Boca,2013,8,3,6,7.03352,1.4231
A Game of Thrones: The Card Game (Second Edition) – The Road to Winterfell,2015,14,2,4,8.11539,3
Master Labyrinth,1991,10,2,4,6.292,1.7929
Lady Alice,2012,8,3,5,6.36996,1.9394
Age of Steam Expansion: Las Vegas and Korea (N&S),2012,14,3,5,7.4375,0
Las Vegas Boulevard,2014,8,1,8,7.30565,1.6667
+6 Bag O' Munchkin Legends,2014,0,0,0,6.77273,1
Lift it!,2012,8,1,8,6.48822,1.375
Ligretto 2,2004,8,2,2,5.53182,1.0714
Lobo 77,1993,8,2,8,5.66157,1.069
Loch Ness,2010,4,2,5,6.02256,1.1579
The Logo Board Game,2008,12,2,6,5.25774,1.2286
Loony Quest,2015,8,2,5,7.14035,1.2523
Loopin' Louie,1992,4,2,4,6.90798,1.055
Lost Legacy,2007,13,2,4,6.33333,3
Adventure Time Love Letter,2015,10,2,4,7.41821,1.0345
Lumis: Der Pfad des Feuers,2015,10,2,4,6.50391,2
Machi Koro,2012,10,2,4,6.77483,1.5495
American Mah Jongg,1937,12,2,5,7.54688,2
Crimson Skies: Wings Over Manhattan,1999,12,2,2,6.805,3
Marco Polo,1983,8,2,4,5.07619,1.7857
Medici vs Strozzi,2006,10,2,2,6.53036,2.4485
Megastar,2006,8,2,5,5.46601,1.4
Masterpiece,1970,8,3,6,5.52638,1.4604
Pachisi,400,5,2,6,4.45917,1.2171
Metropolys,2008,8,2,4,7.03821,2.2169
Booby-Trap,1965,12,1,6,5.29084,1.0217
MindMaze,2012,8,2,8,5.11227,1
Mississippi Queen,1997,10,3,5,6.38313,1.6954
Mixtour,2011,8,2,2,7.47317,2
Jumbo Jet,1975,10,2,6,4.80437,1.6667
Monopoly Here & Now World Edition,2015,8,2,4,5.23,0
Monopoly Millionaire,2012,8,2,4,5.27185,2
+10 Bag o' Munchkin d6,2011,10,3,6,6.44737,2
Munchkin Pathfinder,2013,12,3,6,6.36772,1.6
Munchkin Quest,2008,12,2,4,5.9711,2.5156
My Village,2015,12,2,4,7.15939,2.9623
1989: Dawn of Freedom,2012,12,2,2,7.91729,3.2617
Niagara,2004,8,3,5,6.53725,1.8297
North Wind,2014,10,2,4,6.41992,1.9459
Nosferatu,2001,0,2,2,5,0
Krosmaster: Arena – Nox Promo,2012,0,2,4,7.38324,3
OctoDice,2015,10,1,4,6.69456,1.7857
Oh Heilige Nacht,2009,12,2,6,3.75,0
Ohne Furcht und Adel,2012,10,2,7,7.10648,2.5294
Omertà, el poder de la mafia,2015,14,2,5,7.58868,2.4706
All About New Orleans,1983,0,2,6,0,0
Pandemic,2008,8,2,4,7.67139,2.4312
Panic Station,2011,10,4,6,6.08156,2.3314
Patrician,2007,10,2,5,6.62378,1.9176
Pharaoh Code,2011,10,2,5,6.11447,1.4444
Phase 10,1982,8,2,6,5.10055,1.3175
Pi mal Daumen,1999,12,3,6,6.42679,1.4286
Pi mal Pflaumen,2015,8,3,5,6.66071,1.7143
Pick-a-Polar Bear,2013,8,1,5,6.49945,1.05
Cars 2: Pictureka!,2010,6,2,0,5,0
Pink Stories,2009,8,2,15,4.4,0
Pints of Blood,2014,14,2,4,6.10373,2
PIX,2012,8,4,9,6.68212,1.4211
Pompeji,2001,12,2,4,6.24502,1.5417
Ponte del Diavolo,2007,10,2,2,6.57648,2.3696
Porta Nigra,2015,12,2,4,7.2719,3
Potato Man,2013,10,2,5,6.66191,1.434
Privacy 2,2008,16,5,12,6.88293,1.375
Professor Pünschge,2008,12,2,7,6.28019,2.3636
Project Skyline,2004,10,2,4,5.14286,1.8
All About Pueblo,1981,8,1,5,0,0
Pusher,1993,7,2,3,6.02857,1.6
Quelf,2005,12,3,8,5.43542,1.283
Quips,1972,3,2,4,4.78125,1
Quizduell: Das Spiel,2014,12,2,6,5.95,0
Quo Vadis,1978,10,2,2,6.51786,2
Qwirkle,2006,6,2,4,6.82213,1.6536
Qwirkle Cubes,2009,6,2,4,6.59922,1.625
Qwixx,2012,8,2,5,6.92231,1.1476
Jungle Speed: Rabbids,2008,8,2,10,6.65324,1.1667
Dominion: Hinterlands,2011,13,2,4,8.02668,2.5455
Rätsel Turm,1988,8,1,8,5.43636,1.5
Relikt,2006,10,3,5,5.98449,1.4255
Highlanders,1993,12,3,5,6.23054,2.0667
Risk,1959,10,2,6,5.5775,2.1083
R-Eco,2003,8,2,5,6.6527,1.488
Rococo,2013,12,2,5,7.57849,3.1062
Bingo,1530,5,2,2,2.69118,1.0298
Russian Railroads,2013,12,2,4,7.83761,3.4132
Sanssouci,2013,8,2,4,7.06719,2.0488
Battle of Santa Cruz,1985,14,1,2,5.66667,3.5
3er Schach,1960,10,3,3,7.5,0
Shadows over Camelot: Sir Bedivere, the 8th Knight,2005,12,3,7,7.05332,2.2
Schlag den Raab: Das Quiz,2012,12,2,6,6.82353,2
Schmuggler an Bord,1992,8,3,6,6.34697,1
Schraube Locker,2014,8,2,4,5.76774,1
Schwarz Rot Gelb,2011,8,2,6,5.97205,1.2857
Old Maid,1874,4,2,6,3.53258,1.0206
Agricola: Through the Seasons,2008,12,1,5,7.1494,3.1045
+6 Bag o' Munchkin Level Counters,2011,10,3,6,6.27558,2
Bill Shakespeare Is Dead,2015,15,3,15,6.4,1
Santiago de Cuba: La siesta,2013,10,2,4,6.5,1
Abraca...what?,2014,8,2,5,6.64647,1.7255
SingStar: Das Brettspiel,2012,10,2,12,6.5,0
Sitting Ducks Deluxe,2009,10,3,6,6.22989,1.3846
Skull King,2013,8,2,6,7.12286,1.85
Skyliners,2015,8,2,4,6.0751,2
Munchkin Promotional Bookmarks,2001,10,3,6,5.56083,1.5455
Snake Oil,0,0,2,8,6.53571,0
Black Hole: Space Alert Game,1979,8,2,4,5.85,1
The Light Speed Cup,2014,10,2,6,0,0
Spiel des Lebens: Star-Edition,2002,8,2,4,4.08333,0
Splendor,2014,10,2,4,7.5572,1.8432
Star Wars: Angriff der Klonkrieger,2012,8,2,4,6.44301,2.0556
The Last Starfighter Combat Game,1984,12,2,2,5.92759,1.5
Age of Steam Expansion: Time Traveler,2011,13,2,6,6.52308,4
Telestrations,2009,12,4,8,7.44344,1.112
Rise of Man: Stone Age,0,0,2,6,5.5,0
Monopoly: Strasbourg,2007,8,2,6,3.66667,0
Stromberg: Das große Bürostuhlrennen,2013,14,3,5,4.83333,0
10 Die Survival Games Public Domain Promo Cards,2012,18,1,6,0,0
BOLSA: the board game,2011,10,2,6,6.585,1.6667
Take it Easy!,1983,10,1,8,6.58712,1.5075
Arcade: Terrain pack,2015,8,2,2,7.66667,3
107 City,2014,0,3,6,0,0
Bang! The Dice Game: The Walking Dead,2015,8,3,8,6.81853,1.2
Thurn and Taxis,2006,13,2,4,7.13094,2.2632
Pass the Bomb: Party Edition,0,12,2,12,6.2875,1.1429
Tichu,1991,10,3,10,7.60897,2.352
Tikal,1999,13,2,4,7.33906,2.8358
Tip Tower,0,0,0,0,3,0
Topas,2009,8,1,4,5.60263,1.1429
Upwords,1981,8,2,4,5.68473,1.7202
Die Tore der Welt: Das Kartenspiel,2012,10,2,4,6.15902,2.1667
The Lord of the Rings: The Two Towers,2002,12,2,0,6.97742,0
TransAmerica,2001,13,2,6,6.66292,1.3603
Trivial Pursuit Deluxe,2007,0,2,36,5.87406,2.2727
Trivial Pursuit: Family Edition,1993,12,2,36,5.46552,1.9355
Tumult Royale,2015,10,2,4,6.71779,2.25
Animal Twister,1967,4,3,7,4.5,1
Typisch Deutsch?! Das Kaya Spiel,2013,10,2,5,5,0
Ubongo,2003,8,1,4,6.76922,1.5619
UGO!,2013,10,2,4,6.65471,1.6429
Android: Netrunner – A Study in Static,2013,14,2,2,8.14851,3.1765
UNO Attack!,1999,7,2,10,5.38986,1.24
Uuups,2011,8,2,5,3.97571,1
Vampir Mau Mau,2014,8,2,4,5.86424,1.3333
Vasco da Gama,2009,12,2,4,7.32562,3.2407
Venice Connection,1988,10,2,2,5.40785,1.6364
Villa Paletti,2001,8,2,4,6.49993,1.1548
Build a Village,2006,3,2,4,6.33333,1
Village Port,2014,12,2,5,7.99581,3.087
Coda,2002,8,2,4,6.09497,1.494
Vineta,2008,10,2,6,6.24762,2.022
Voll in Fahrt,2010,6,2,4,6.50232,1.1765
One Night Ultimate Werewolf,2014,8,3,10,7.38503,1.4129
Wizard,1984,10,3,6,6.88504,1.7472
Sluff Off!,2003,10,3,5,6.91734,1.8607
Wongar,2000,12,3,5,6.32506,3
Xactika,2002,12,2,10,5.81039,1.9783
Yucatan,1974,0,2,4,6,0
Zatre,1990,8,2,6,6.385,2.0476
Zippers,2013,10,1,6,5.25,3
Zombeasts,2014,8,2,4,5.65854,1.5
Zombicide,2012,13,1,6,7.34265,2.5845
Zooloretto,2007,8,2,5,6.87657,1.8628
Zug um Zug,1972,0,2,4,5,0
Ticket to Ride: Europe,2005,8,2,5,7.59211,1.9657
